title,description,url,group,icon,color,visible,media_url,longitude,latitude
Guyana,Toolkit Implementation (2016-2017),,Analysis of national responses,star,#ffcc00,True,,-58.93988,4.88732
Nepal,Toolkit Implementation (2014),,Analysis of national responses,star,#ffcc00,True,,84.091714,28.108393
Republic of Korea,Workshop to combat smuggling of timber from Madagascar to Asia (2014),,Law enforcement support and capacity building,star,#3cc954,True,,127.940856,36.558191
Singapore,"Operation Thunderball (2019) 
Reptiles Regional Investigative and Analytic Case Meeting (2016)
Operation Cobra (2013)
Operation Cobra II (2014)",https://cites.org/eng/news/wildlife-trafficking-organized-crime-hit-hard-by-joint-interpol-wco-global-enforcement-operation_10072019,Law enforcement support and capacity building,star,#3cc954,True,,103.819499,1.357107
Belize,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,-88.760093,16.825979
Belgium,"Operation Thunderball (2019) 
Operation Thunderstorm (2018) 
Operation Thunderbird (2017)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,4.666715,50.640281
Belarus,Operation Thunderstorm 2018,https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,27.697136,53.425061
Bahrain,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,50.534461,26.155125
Azerbaijan,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,47.787251,40.393629
Argentina,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,-64.967282,-34.996496
Albania,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,19.999962,41.000028
Armenia,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,44.673665,40.769627
Australia,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,134.755,-24.776109
Benin,Operation Thunderstorm (2018),https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,2.258441,9.529347
Bhutan,"Operation Thunderstorm (2018) 
Operation PAWS - Protection of Asian Wildlife Species – (2014)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,90.511927,27.549511
Bulgaria,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,25.485662,42.607397
Cameroon,"Operation Thunderball (2019) 
Operation Thunderstorm (2018) 
Operation Cobra (2013)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,13.153581,4.612552
Canada,"Operation Thunderball (2019) 
Operation Thunderstorm (2018) 
Operation Thunderbird (2017)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,-107.991707,61.066692
Chile,"Operation Thunderball (2019) 
Operation Thunderstorm (2018)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,-71.31877,-31.761336
"Hong Kong, PRC","Operation Thunderball (2019) 
Operation Thunderstorm (2018) 
Operation Thunderbird (2017)
Operation Cobra II (2014)",https://cites.org/eng/news/month-long-trans-continental-operation-hit-wildlife-criminals-hard_20062018,Law enforcement support and capacity building,,#3cc954,True,,114.184916,22.350627
